Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,21.9,16.2,105,3.44,0.0005,208.7509
25,50,33.2,8.8,108,2.77,0.0007,143.7939
50,75,43.0,-2.5,110,1.09,0.0008,86.9702
75,100,41.9,-4.7,110,0.32,0.0009,71.997
100,125,42.6,1.0,110,1.37,0.001,103.4284
125,150,42.7,-12.0,110,0.01,0.001,39.7802
150,175,35.4,3.8,108,1.91,0.0011,114.6722
175,200,32.2,6.3,108,1.46,0.0012,129.8391
200,225,41.8,-5.2,110,0.35,0.0012,76.4469
225,250,49.1,-14.6,112,0.0,0.0012,36.3949
250,275,39.8,-4.9,109,0.26,0.0012,68.1151
275,300,48.7,-5.8,112,2.25,0.0013,82.8535
300,325,49.4,-16.7,112,0.0,0.0013,37.5433
325,350,39.8,-6.8,109,0.0,0.0013,61.8516
350,375,58.4,-22.6,115,0.0,0.0013,24.5135
375,400,44.8,-2.9,111,0.01,0.0014,87.982
400,425,47.4,-13.9,112,0.47,0.0014,51.8973
425,450,40.1,-2.7,109,0.63,0.0014,85.5919
450,475,34.1,-0.3,108,0.0,0.0014,98.2538
475,500,41.8,-2.6,110,0.04,0.0015,88.0832
